timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y
,393.4718322753906,231.42001342773438,341.7373046875,229.28675842285156
,393.3182678222656,231.04135131835938,341.3206787109375,229.07196044921875
,392.40106201171875,231.1235809326172,341.0251770019531,229.14199829101562
,392.51507568359375,230.96348571777344,340.76470947265625,229.1832275390625
,391.88336181640625,230.72239685058594,339.6426086425781,229.55001831054688
,391.387939453125,230.83975219726562,339.94378662109375,229.33094787597656
,391.8105163574219,230.20860290527344,339.9687194824219,229.49423217773438
,391.5091857910156,230.85693359375,339.9018249511719,229.3905792236328
,391.8844299316406,230.8422393798828,339.95928955078125,229.36854553222656
,391.6512756347656,231.05569458007812,339.97064208984375,229.57769775390625
,391.35430908203125,231.3811492919922,339.7742614746094,229.76025390625
,391.5915222167969,231.36485290527344,339.946044921875,229.40829467773438
,391.3374328613281,230.9343719482422,339.702392578125,229.26495361328125
,390.4708251953125,230.7183380126953,338.7298889160156,229.43736267089844
,390.8302917480469,231.27882385253906,339.5337829589844,229.2900848388672
,390.864013671875,231.4794921875,339.579833984375,229.43551635742188
,390.5478515625,230.49588012695312,338.7952880859375,229.9397430419922
,390.39825439453125,230.5947265625,338.5616455078125,229.63522338867188
,389.9280090332031,231.0203399658203,338.4781799316406,229.2642364501953
,389.7294921875,230.8671112060547,338.0399169921875,229.78201293945312
,389.6701354980469,231.07135009765625,337.77740478515625,229.5947265625
,389.4380798339844,231.46560668945312,337.72930908203125,229.6060333251953
,388.8973083496094,231.42665100097656,336.98248291015625,229.39886474609375
,388.55322265625,231.55416870117188,336.77947998046875,229.5395965576172
,388.03887939453125,231.5989990234375,336.3648376464844,229.71066284179688
,387.818359375,231.4657440185547,335.8453369140625,230.4400177001953
,387.8868713378906,231.86495971679688,336.03375244140625,230.2616424560547
,387.45562744140625,231.70594787597656,335.70953369140625,230.626220703125
,387.5315856933594,232.26319885253906,335.9927062988281,230.09608459472656
,386.91461181640625,231.5000762939453,335.13555908203125,230.7373046875
,386.9576416015625,232.2071075439453,335.3840026855469,229.9629669189453
,387.36279296875,231.7217254638672,335.0445861816406,230.18490600585938
,387.2323303222656,232.1534881591797,335.4762268066406,229.88722229003906
,386.7188720703125,231.4022979736328,335.2078857421875,230.45657348632812
,387.15240478515625,232.14874267578125,335.4373779296875,229.76568603515625
,386.9808349609375,231.60733032226562,334.966552734375,230.32818603515625
,387.334228515625,232.45301818847656,335.4808654785156,230.34555053710938
,386.69732666015625,231.96127319335938,334.7597351074219,231.07069396972656
